sample_index,clean_signal,noisy_signal,filtered_signal
7446,1566.0,1594.0,1574.1431855719618
7447,1653.0,1018.0,1054.2545582418363
7448,1746.0,1438.0,1173.4235347381057
7449,1844.0,1608.0,1503.2206786729746
7450,1945.0,1076.0,1425.1580704402481
7451,2048.0,3385.0,3181.882318764495
7452,2150.0,2412.0,2821.5215205074214
7453,2251.0,2726.0,2900.7623256199195
7454,2349.0,613.0,1400.0170629576457
7455,2442.0,2486.0,1793.5177919886983
7456,2529.0,2394.0,2169.780111565474
7457,2608.0,2465.0,2507.310047921636
7458,2679.0,3067.0,2654.8599539035013
7459,2739.0,2427.0,2473.200383851152
7460,2789.0,3242.0,2981.082780339945
7461,2826.0,2847.0,2900.873307626115
7462,2852.0,2473.0,2677.6249929099167
7463,2865.0,2781.0,2268.6589809256798
7464,2865.0,3122.0,2857.5329804570556
7465,2852.0,2781.0,2927.506715339707
7466,2826.0,2336.0,2526.7865616146714
7467,2789.0,1211.0,1797.338026438395
7468,2739.0,2403.0,2086.899947625586
7469,2679.0,3156.0,2888.4663771775963
7470,2608.0,2590.0,2863.4400860618857
7471,2529.0,2490.0,2590.1137309827495
7472,2442.0,2203.0,2292.7453940975006
7473,2349.0,2226.0,2303.8037268901053
7474,2251.0,2030.0,2183.9384397799117
7475,2150.0,2575.0,2307.663478137274
7476,2047.0,2339.0,2295.179708828066
7477,1945.0,2074.0,2281.200916813374
7478,1844.0,2072.0,2186.0133607149855
7479,1746.0,1712.0,1929.4831422203188
7480,1653.0,2048.0,1968.8194800652716
7481,1566.0,2100.0,2088.703641166318
7482,1487.0,1349.0,1805.88513167071
7483,1416.0,1759.0,1606.8597434053713
7484,1356.0,982.0,1447.0439794471845
7485,1306.0,1589.0,1473.1290706190678
7486,1269.0,1277.0,1490.4669518246935
7487,1243.0,1610.0,1601.5216267032574
7488,1230.0,1564.0,1626.2808534367132
7489,1230.0,295.0,1045.286378553212
7490,1243.0,1218.0,896.2436675562187
7491,1269.0,2145.0,1630.7090924579365
7492,1306.0,238.0,1371.1498293982947
7493,1356.0,1072.0,710.0488500698401
7494,1416.0,1749.0,1294.3056310079085
7495,1487.0,1456.0,1713.1106559693676
7496,1566.0,1588.0,1623.7157410116638
7497,1653.0,0.0,720.3063183913376
7498,1746.0,2175.0,1490.8209603068335
7499,1844.0,2056.0,1994.0544303223462
7500,1945.0,1916.0,2231.0458201247347
7501,2047.0,1725.0,1560.8192306360384
7502,2150.0,2184.0,1759.9187740210646
7503,2251.0,2336.0,2204.6158618933096
7504,2349.0,2838.0,2506.0077800658314
7505,2442.0,2361.0,2466.8933591266764
7506,2529.0,2012.0,1830.4565290235084
7507,2608.0,2185.0,2016.4903863566224
7508,2679.0,2560.0,2303.0993706246336
7509,2739.0,2670.0,2580.274387250598
7510,2789.0,3583.0,3276.3416624205984
7511,2826.0,2914.0,3144.3314507037758
7512,2852.0,3225.0,3022.8820745812445
7513,2865.0,2477.0,2721.566778270933
7514,2865.0,2623.0,2458.958171125347
7515,2852.0,2707.0,2500.7648552601145
7516,2826.0,2905.0,2745.109753448732
7517,2789.0,2135.0,2534.7646518390957
7518,2739.0,3178.0,2850.7966024929633
7519,2679.0,3399.0,3357.1810191992536
7520,2608.0,3007.0,3292.946285714873
7521,2529.0,2207.0,2630.7488268262096
7522,2442.0,3207.0,2905.0228549976073
7523,2349.0,2371.0,2720.846703882197
7524,2251.0,2460.0,2517.2603776371657
7525,2150.0,1752.0,2080.3668672411086
7526,2048.0,1816.0,1793.0912935173394
7527,1945.0,2037.0,2091.4576734842176
7528,1844.0,2393.0,2465.0873208638845
7529,1746.0,1991.0,2374.8835665582537
7530,1653.0,1979.0,2027.569031753498
7531,1566.0,2132.0,2192.5274859111782
7532,1487.0,888.0,1575.543413459604
7533,1416.0,1893.0,1510.9049897709392
7534,1356.0,1854.0,1797.85105289356
7535,1306.0,1679.0,1905.445139121525
7536,1269.0,1293.0,1553.685073770265
7537,1243.0,2362.0,1894.1917869207196
7538,1230.0,3986.0,3506.2718002873617
7539,1230.0,1148.0,1783.2686439354973
7540,1243.0,1343.0,1281.203092398131
7541,1269.0,979.0,733.2838525822967
7542,1306.0,2014.0,1615.7525062812097
7543,1356.0,2175.0,2196.548801086169
7544,1416.0,1027.0,1651.457050673549
